"Nombre","Región","Significado"
"Anawrahta","Myanmar","Nombre real histórico; asociado a grandeza y realeza."
"Bayinnaung","Myanmar","“Hermano mayor del rey”."
"Alaungpaya","Myanmar","Nombre real histórico; “futuro Buda” o “rey destinado”."
"Narapati","Myanmar","“Señor de los hombres”."
"Thibaw","Myanmar","Nombre real histórico."
"Mindon","Myanmar","Nombre real histórico."
"Hsinbyushin","Myanmar","“Señor del elefante blanco”."
"Maha","Myanmar","“Grande”."
"Hlaing","Myanmar","Nombre tradicional birmano."
"Khin","Myanmar","Nombre tradicional birmano, usado sobre todo en mujeres."
"Narai","Tailandia","Nombre real histórico; asociado a Vishnu."
"Ramkhamhaeng","Tailandia","Nombre real histórico; “valiente en la batalla”."
"Naresuan","Tailandia","Nombre real histórico."
"Suriyothai","Tailandia","“Sol y tierra” o “victoria solar”, según la interpretación."
"Chulalongkorn","Tailandia","Nombre real histórico."
"Mongkut","Tailandia","“Corona”."
"Sirikit","Tailandia","“Gloria” o “elogio”."
"Bhumibol","Tailandia","“Fuerza de la tierra”."
"Pichai","Tailandia","“Victoria”."
"Chao","Tailandia / región tai","“Señor” o “príncipe”."
"Fa Ngum","Laos","Nombre real histórico; relacionado con legitimidad y linaje."
"Setthathirath","Laos","“Rey de gran riqueza” o “rey poderoso”."
"Souphanouvong","Laos","“Príncipe de oro”."
"Kham","Laos","“Oro”."
"Somphet","Laos","“Grandeza” o “magnificencia”."
"Vientiane","Laos","Nombre de la capital; aquí no es nombre personal, mejor usarlo como referencia cultural."
"Souvanna","Laos","“Oro” o “dorada”."
"Phetsarath","Laos","“Poder del diamante” o “joya poderosa”."
"Phou","Laos","“Montaña”."
"Noy","Laos","“Pequeño”."
"Jayavarman","Camboya","“Rey de la victoria”."
"Suryavarman","Camboya","“Protegido por el sol”."
"Indravarman","Camboya","“Protegido por Indra”."
"Yasovarman","Camboya","“Protegido por la fama”."
"Udayadityavarman","Camboya","Nombre real histórico; asociado al amanecer y al sol."
"Rajendravarman","Camboya","“Señor de reyes” o “rey supremo”."
"Bhavavarman","Camboya","Nombre real histórico; “protector del ser”."
"Harshavarman","Camboya","“Protegido por la alegría”."
"Sihamoni","Camboya","“Corona de león” o nombre real moderno ligado a la realeza."
"Sothea","Camboya","“Bueno”, “virtuoso”."
"Hai Bà Trưng","Vietnam","“Las dos hermanas Trưng”."
"Trưng Trắc","Vietnam","Nombre histórico; “firme” o “estable”."
"Trưng Nhị","Vietnam","“La segunda hermana”."
"Lý Thường Kiệt","Vietnam","Nombre histórico; asociado a linaje y mérito."
"Ngô Quyền","Vietnam","“Poder” o “autoridad”."
"Trần Hưng Đạo","Vietnam","“Virtud heroica” o “camino honorable”."
"Quang Trung","Vietnam","“Luz central”."
"Gia Long","Vietnam","Nombre dinástico histórico."
"Minh Mạng","Vietnam","“Claro” o “iluminado”."
"Thiên","Vietnam","“Cielo”."
"Hang Tuah","Malasia","Héroe legendario; “valiente” o “alto” según interpretación."
"Hang Jebat","Malasia","Héroe legendario."
"Tun Perak","Malasia","“Piedra preciosa” o nombre de linaje."
"Parameswara","Malasia / mundo malayo","“Señor supremo”."
"Mahsuri","Malasia","Heroína legendaria; nombre tradicional."
"Puteri","Malasia / mundo malayo","“Princesa”."
"Siti","Malasia / mundo malayo","Título honorífico femenino."
"Wan","Malasia / mundo malayo","Título de linaje o nobleza."
"Tengku","Malasia / mundo malayo","Título principesco."
"Zaharah","Malasia","“Flor” o “brillante”, según tradición."
"Gajah Mada","Indonesia","“Elefante sagrado” o “elefante poderoso”."
"Hayam Wuruk","Indonesia","“El joven sabio” o “el joven educado”."
"Ken Arok","Indonesia","Nombre histórico javanés."
"Ken Dedes","Indonesia","Nombre histórico javanés."
"Sriwijaya","Indonesia","“Gloria victoriosa” o “gran victoria”."
"Majapahit","Indonesia","“Fruto amargo” o “Maja amarga”."
"Diah","Indonesia","“Señora” o “dama”."
"Putri","Indonesia","“Princesa”."
"Raden","Indonesia","Título noble."
